Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2023-08-08,Garmin Connect calorie adjustment,Cardio,573.0,1,,,,7574,
2023-08-09,Garmin Connect calorie adjustment,Cardio,828.0,1,,,,19348,
2023-08-10,Garmin Connect calorie adjustment,Cardio,413.0,1,,,,10930,
2023-08-11,Garmin Connect calorie adjustment,Cardio,775.0,1,,,,16759,
2023-08-12,Garmin Connect calorie adjustment,Cardio,317.0,1,,,,10244,
2023-08-13,"""Strength training (weight lifting, weight training)""",Cardio,186.0,37,,,,,
2023-08-13,Garmin Connect calorie adjustment,Cardio,180.0,1,,,,6993,
2023-08-14,"""Walking, 2.5 mph, leisurely pace""",Cardio,225.0,39,,,,,
2023-08-14,"""Walking, 3.5 mph, brisk pace""",Cardio,206.0,27,,,,,
2023-08-14,Garmin Connect calorie adjustment,Cardio,74.0,1,,,,10924,
2023-08-15,Garmin Connect calorie adjustment,Cardio,357.0,1,,,,8075,
2023-08-16,Garmin Connect calorie adjustment,Cardio,734.0,1,,,,15240,
2023-08-17,Garmin Connect calorie adjustment,Cardio,424.0,1,,,,10298,
2023-08-18,"""Walking, 2.5 mph, leisurely pace""",Cardio,245.0,40,,,,,
2023-08-18,Garmin Connect calorie adjustment,Cardio,231.0,1,,,,11175,
2023-08-19,Garmin Connect calorie adjustment,Cardio,312.0,1,,,,12066,
2023-08-20,Garmin Connect calorie adjustment,Cardio,233.0,1,,,,8644,
2023-08-21,"""Strength training (weight lifting, weight training)""",Cardio,253.0,27,,,,,
2023-08-21,Garmin Connect calorie adjustment,Cardio,195.0,1,,,,2737,
2023-08-22,Garmin Connect calorie adjustment,Cardio,165.0,1,,,,5625,
2023-08-23,"""Stair-treadmill ergometer, general""",Cardio,327.0,24,,,,,
2023-08-23,Garmin Connect calorie adjustment,Cardio,94.0,1,,,,5195,
2023-08-24,"""Walking, 3.0 mph, mod. pace""",Cardio,202.0,29,,,,,
2023-08-24,Garmin Connect calorie adjustment,Cardio,456.0,1,,,,12750,
2023-08-25,Garmin Connect calorie adjustment,Cardio,309.0,1,,,,10373,
2023-08-26,"""Stair-treadmill ergometer, general""",Cardio,545.0,41,,,,,
2023-08-26,Garmin Connect calorie adjustment,Cardio,687.0,1,,,,15777,
2023-08-27,"""Stair-treadmill ergometer, general""",Cardio,354.0,30,,,,,
2023-08-27,Garmin Connect calorie adjustment,Cardio,29.0,1,,,,3930,
2023-08-28,Garmin Connect calorie adjustment,Cardio,318.0,1,,,,5996,
2023-08-29,"""Strength training (weight lifting, weight training)""",Cardio,196.0,26,,,,,
2023-08-29,"""Walking, 2.0 mph, slow pace""",Cardio,303.0,58,,,,,
2023-08-29,"""Walking, 3.5 mph, brisk pace""",Cardio,207.0,26,,,,,
2023-08-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,10722,
2023-08-30,"""Stair-treadmill ergometer, general""",Cardio,274.0,24,,,,,
2023-08-30,Garmin Connect calorie adjustment,Cardio,170.0,1,,,,8337,
2023-08-31,"""Strength training (weight lifting, weight training)""",Cardio,183.0,32,,,,,
2023-08-31,Garmin Connect calorie adjustment,Cardio,245.0,1,,,,8259,
2023-09-01,"""Stair-treadmill ergometer, general""",Cardio,358.0,24,,,,,
2023-09-01,Garmin Connect calorie adjustment,Cardio,227.0,1,,,,6835,
2023-09-02,Garmin Connect calorie adjustment,Cardio,303.0,1,,,,8808,
2023-09-03,Garmin Connect calorie adjustment,Cardio,456.0,1,,,,10433,
2023-09-04,"""Stair-treadmill ergometer, general""",Cardio,341.0,23,,,,,
2023-09-04,Garmin Connect calorie adjustment,Cardio,173.0,1,,,,6450,
2023-09-05,"""Stair-treadmill ergometer, general""",Cardio,291.0,19,,,,,
2023-09-05,"""Walking, 3.0 mph, mod. pace""",Cardio,212.0,30,,,,,
2023-09-05,Garmin Connect calorie adjustment,Cardio,215.0,1,,,,11425,
2023-09-06,"""Walking, 2.5 mph, leisurely pace""",Cardio,205.0,37,,,,,
2023-09-06,"""Walking, 3.5 mph, brisk pace""",Cardio,150.0,20,,,,,
2023-09-06,Garmin Connect calorie adjustment,Cardio,307.0,1,,,,16683,
2023-09-07,Garmin Connect calorie adjustment,Cardio,225.0,1,,,,8607,
2023-09-08,"""Walking, 3.0 mph, mod. pace""",Cardio,96.0,16,,,,,
2023-09-08,"""Walking, 4.0 mph, very brisk pace""",Cardio,209.0,27,,,,,
2023-09-08,Garmin Connect calorie adjustment,Cardio,196.0,1,,,,14036,
2023-09-09,"""Strength training (weight lifting, weight training)""",Cardio,244.0,41,,,,,
2023-09-09,Garmin Connect calorie adjustment,Cardio,285.0,1,,,,11656,
2023-09-10,"""Stair-treadmill ergometer, general""",Cardio,165.0,20,,,,,
2023-09-10,Garmin Connect calorie adjustment,Cardio,168.0,1,,,,8864,
2023-09-11,"""Strength training (weight lifting, weight training)""",Cardio,155.0,27,,,,,
2023-09-11,Garmin Connect calorie adjustment,Cardio,165.0,1,,,,4568,
2023-09-12,Garmin Connect calorie adjustment,Cardio,165.0,1,,,,6265,
2023-09-13,"""Strength training (weight lifting, weight training)""",Cardio,81.0,15,,,,,
2023-09-13,Garmin Connect calorie adjustment,Cardio,271.0,1,,,,7193,
2023-09-14,"""Stair-treadmill ergometer, general""",Cardio,328.0,26,,,,,
2023-09-14,Garmin Connect calorie adjustment,Cardio,223.0,1,,,,10767,
2023-09-15,"""Strength training (weight lifting, weight training)""",Cardio,117.0,24,,,,,
2023-09-15,Garmin Connect calorie adjustment,Cardio,365.0,1,,,,12187,
2023-09-16,"""Stair-treadmill ergometer, general""",Cardio,374.0,28,,,,,
2023-09-16,Garmin Connect calorie adjustment,Cardio,350.0,1,,,,9866,
2023-09-17,Garmin Connect calorie adjustment,Cardio,250.0,1,,,,7241,
2023-09-18,"""Strength training (weight lifting, weight training)""",Cardio,477.0,60,,,,,
2023-09-18,Garmin Connect calorie adjustment,Cardio,55.0,1,,,,5967,
2023-09-19,"""Walking, 2.5 mph, leisurely pace""",Cardio,194.0,37,,,,,
2023-09-19,"""Walking, 2.5 mph, leisurely pace""",Cardio,240.0,49,,,,,
2023-09-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,10568,
2023-09-20,"""Walking, 3.0 mph, mod. pace""",Cardio,186.0,32,,,,,
2023-09-20,"""Walking, 3.0 mph, mod. pace""",Cardio,215.0,30,,,,,
2023-09-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,8484,
2023-09-21,Garmin Connect calorie adjustment,Cardio,320.0,1,,,,10923,
2023-09-22,"""Walking, 2.5 mph, leisurely pace""",Cardio,222.0,39,,,,,
2023-09-22,Garmin Connect calorie adjustment,Cardio,209.0,1,,,,11086,
2023-09-23,"""Walking, 3.0 mph, mod. pace""",Cardio,214.0,32,,,,,
2023-09-23,Garmin Connect calorie adjustment,Cardio,248.0,1,,,,14162,
2023-09-24,Garmin Connect calorie adjustment,Cardio,168.0,1,,,,6882,
2023-09-25,"""Running (jogging), 5 mph (12 min mile)""",Cardio,45.0,8,,,,,
2023-09-25,"""Stair-treadmill ergometer, general""",Cardio,67.0,7,,,,,
2023-09-25,"""Walking, 3.0 mph, mod. pace""",Cardio,202.0,33,,,,,
2023-09-25,Garmin Connect calorie adjustment,Cardio,146.0,1,,,,10441,
2023-09-26,"""Walking, 3.0 mph, mod. pace""",Cardio,142.0,21,,,,,
2023-09-26,Garmin Connect calorie adjustment,Cardio,251.0,1,,,,9635,
2023-09-27,"""Walking, 3.5 mph, brisk pace""",Cardio,202.0,28,,,,,
2023-09-27,Garmin Connect calorie adjustment,Cardio,326.0,1,,,,13868,
2023-09-28,"""Walking, 3.5 mph, brisk pace""",Cardio,183.0,26,,,,,
2023-09-28,Garmin Connect calorie adjustment,Cardio,265.0,1,,,,11959,
2023-09-29,"""Strength training (weight lifting, weight training)""",Cardio,281.0,32,,,,,
2023-09-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3048,
2023-09-30,"""Strength training (weight lifting, weight training)""",Cardio,329.0,45,,,,,
2023-09-30,Garmin Connect calorie adjustment,Cardio,532.0,1,,,,13528,
2023-10-01,Garmin Connect calorie adjustment,Cardio,156.0,1,,,,5738,
2023-10-02,Garmin Connect calorie adjustment,Cardio,369.0,1,,,,12072,
2023-10-03,Garmin Connect calorie adjustment,Cardio,532.0,1,,,,13854,
2023-10-04,Garmin Connect calorie adjustment,Cardio,319.0,1,,,,12058,
2023-10-05,Garmin Connect calorie adjustment,Cardio,65.0,1,,,,5545,
2023-10-06,Garmin Connect calorie adjustment,Cardio,476.0,1,,,,12414,
2023-10-07,Garmin Connect calorie adjustment,Cardio,369.0,1,,,,10708,
2023-10-08,Garmin Connect calorie adjustment,Cardio,160.0,1,,,,4896,
2023-10-09,Garmin Connect calorie adjustment,Cardio,95.0,1,,,,3246,
2023-10-10,"""Walking, 2.5 mph, leisurely pace""",Cardio,281.0,55,,,,,
2023-10-10,"""Walking, 3.0 mph, mod. pace""",Cardio,196.0,33,,,,,
2023-10-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,9003,
2023-10-11,"""Walking, 3.5 mph, brisk pace""",Cardio,191.0,31,,,,,
2023-10-11,Garmin Connect calorie adjustment,Cardio,95.0,1,,,,9205,
2023-10-12,Garmin Connect calorie adjustment,Cardio,10.0,1,,,,2869,
2023-10-13,Garmin Connect calorie adjustment,Cardio,447.0,1,,,,13317,
2023-10-14,Garmin Connect calorie adjustment,Cardio,868.0,1,,,,22535,
2023-10-15,Garmin Connect calorie adjustment,Cardio,594.0,1,,,,17983,
2023-10-16,"""Walking, 2.5 mph, leisurely pace""",Cardio,224.0,43,,,,,
2023-10-16,Garmin Connect calorie adjustment,Cardio,814.0,1,,,,26518,
2023-10-17,Garmin Connect calorie adjustment,Cardio,579.0,1,,,,16429,
2023-10-18,"""Walking, 2.5 mph, leisurely pace""",Cardio,263.0,47,,,,,
2023-10-18,"""Walking, 3.0 mph, mod. pace""",Cardio,202.0,29,,,,,
2023-10-18,Garmin Connect calorie adjustment,Cardio,82.0,1,,,,14276,
2023-10-19,Garmin Connect calorie adjustment,Cardio,194.0,1,,,,7840,
2023-10-20,"""Stair-treadmill ergometer, general""",Cardio,173.0,17,,,,,
2023-10-20,Garmin Connect calorie adjustment,Cardio,241.0,1,,,,6026,
2023-10-21,Garmin Connect calorie adjustment,Cardio,326.0,1,,,,7811,
2023-10-22,Garmin Connect calorie adjustment,Cardio,404.0,1,,,,12453,
2023-10-23,"""Strength training (weight lifting, weight training)""",Cardio,124.0,26,,,,,
2023-10-23,"""Walking, 3.5 mph, brisk pace""",Cardio,216.0,27,,,,,
2023-10-23,"""Walking, 4.0 mph, very brisk pace""",Cardio,79.0,22,,,,,
2023-10-23,Garmin Connect calorie adjustment,Cardio,172.0,1,,,,13103,
2023-10-24,"""Strength training (weight lifting, weight training)""",Cardio,368.0,55,,,,,
2023-10-24,Garmin Connect calorie adjustment,Cardio,237.0,1,,,,10011,
2023-10-25,"""Walking, 3.5 mph, brisk pace""",Cardio,191.0,27,,,,,
2023-10-25,Garmin Connect calorie adjustment,Cardio,204.0,1,,,,8929,
2023-10-26,Garmin Connect calorie adjustment,Cardio,390.0,1,,,,7127,
2023-10-27,"""Strength training (weight lifting, weight training)""",Cardio,243.0,29,,,,,
2023-10-27,Garmin Connect calorie adjustment,Cardio,477.0,1,,,,12670,
2023-10-28,Garmin Connect calorie adjustment,Cardio,688.0,1,,,,15892,
2023-10-29,"""Strength training (weight lifting, weight training)""",Cardio,332.0,40,,,,,
2023-10-29,Garmin Connect calorie adjustment,Cardio,106.0,1,,,,8974,
2023-10-30,"""Strength training (weight lifting, weight training)""",Cardio,214.0,33,,,,,
2023-10-30,Garmin Connect calorie adjustment,Cardio,815.0,1,,,,17576,
2023-10-31,"""Strength training (weight lifting, weight training)""",Cardio,160.0,26,,,,,
2023-10-31,Garmin Connect calorie adjustment,Cardio,392.0,1,,,,10567,
2023-11-01,"""Stair-treadmill ergometer, general""",Cardio,496.0,41,,,,,
2023-11-01,Garmin Connect calorie adjustment,Cardio,79.0,1,,,,5461,
2023-11-02,"""Strength training (weight lifting, weight training)""",Cardio,222.0,27,,,,,
2023-11-02,"""Walking, 2.0 mph, slow pace""",Cardio,337.0,55,,,,,
2023-11-02,"""Walking, 3.0 mph, mod. pace""",Cardio,180.0,28,,,,,
2023-11-02,"""Walking, 3.5 mph, brisk pace""",Cardio,211.0,29,,,,,
2023-11-02,Garmin Connect calorie adjustment,Cardio,390.0,1,,,,19398,
2023-11-03,"""Strength training (weight lifting, weight training)""",Cardio,366.0,36,,,,,
2023-11-03,Garmin Connect calorie adjustment,Cardio,331.0,1,,,,9926,
2023-11-04,"""Stair-treadmill ergometer, general""",Cardio,387.0,27,,,,,
2023-11-04,Garmin Connect calorie adjustment,Cardio,765.0,1,,,,13584,
2023-11-05,Garmin Connect calorie adjustment,Cardio,296.0,1,,,,6915,
2023-11-06,"""Strength training (weight lifting, weight training)""",Cardio,196.0,32,,,,,
2023-11-06,"""Walking, 3.0 mph, mod. pace""",Cardio,197.0,34,,,,,
2023-11-06,Garmin Connect calorie adjustment,Cardio,326.0,1,,,,15818,
2023-11-07,Garmin Connect calorie adjustment,Cardio,494.0,1,,,,12775,
2023-11-08,"""Walking, 3.5 mph, brisk pace""",Cardio,198.0,29,,,,,
2023-11-08,Garmin Connect calorie adjustment,Cardio,288.0,1,,,,17066,
2023-11-09,Garmin Connect calorie adjustment,Cardio,474.0,1,,,,10082,
2023-11-10,Garmin Connect calorie adjustment,Cardio,534.0,1,,,,13577,
2023-11-11,Garmin Connect calorie adjustment,Cardio,289.0,1,,,,5809,
2023-11-12,"""Strength training (weight lifting, weight training)""",Cardio,201.0,39,,,,,
2023-11-12,Garmin Connect calorie adjustment,Cardio,403.0,1,,,,9997,
2023-11-13,"""Strength training (weight lifting, weight training)""",Cardio,207.0,24,,,,,
2023-11-13,"""Walking, 3.5 mph, brisk pace""",Cardio,196.0,28,,,,,
2023-11-13,Garmin Connect calorie adjustment,Cardio,53.0,1,,,,9029,
2023-11-14,Garmin Connect calorie adjustment,Cardio,612.0,1,,,,11973,
2023-11-15,Garmin Connect calorie adjustment,Cardio,617.0,1,,,,9733,
2023-11-16,Garmin Connect calorie adjustment,Cardio,248.0,1,,,,5837,
2023-11-17,Garmin Connect calorie adjustment,Cardio,673.0,1,,,,10812,
2023-11-18,Garmin Connect calorie adjustment,Cardio,415.0,1,,,,9965,
2023-11-19,"""Strength training (weight lifting, weight training)""",Cardio,378.0,41,,,,,
2023-11-19,Garmin Connect calorie adjustment,Cardio,349.0,1,,,,7669,
2023-11-20,Garmin Connect calorie adjustment,Cardio,318.0,1,,,,7616,
2023-11-21,"""Walking, 3.0 mph, mod. pace""",Cardio,181.0,30,,,,,
2023-11-21,"""Walking, 3.0 mph, mod. pace""",Cardio,192.0,31,,,,,
2023-11-21,"""Walking, 3.5 mph, brisk pace""",Cardio,191.0,26,,,,,
2023-11-21,Garmin Connect calorie adjustment,Cardio,232.0,1,,,,17247,
2023-11-22,"""Stair-treadmill ergometer, general""",Cardio,397.0,26,,,,,
2023-11-22,Garmin Connect calorie adjustment,Cardio,285.0,1,,,,7651,
2023-11-23,Garmin Connect calorie adjustment,Cardio,270.0,1,,,,6897,
2023-11-24,Garmin Connect calorie adjustment,Cardio,163.0,1,,,,4837,
2023-11-25,"""Strength training (weight lifting, weight training)""",Cardio,376.0,43,,,,,
2023-11-25,Garmin Connect calorie adjustment,Cardio,511.0,1,,,,17587,
2023-11-26,"""Walking, 2.5 mph, leisurely pace""",Cardio,134.0,23,,,,,
2023-11-26,Elliptical Trainer,Cardio,327.0,29,,,,,
2023-11-26,Garmin Connect calorie adjustment,Cardio,274.0,1,,,,10461,
2023-11-27,"""Stair-treadmill ergometer, general""",Cardio,363.0,24,,,,,
2023-11-27,"""Walking, 3.0 mph, mod. pace""",Cardio,403.0,63,,,,,
2023-11-27,Garmin Connect calorie adjustment,Cardio,285.0,1,,,,11300,
2023-11-28,"""Running (jogging), 5 mph (12 min mile)""",Cardio,69.0,22,,,,,
2023-11-28,"""Walking, 2.5 mph, leisurely pace""",Cardio,251.0,39,,,,,
2023-11-28,"""Walking, 3.0 mph, mod. pace""",Cardio,199.0,32,,,,,
2023-11-28,Garmin Connect calorie adjustment,Cardio,336.0,1,,,,13802,
2023-11-29,Garmin Connect calorie adjustment,Cardio,296.0,1,,,,7801,
2023-11-30,Garmin Connect calorie adjustment,Cardio,690.0,1,,,,12705,
2023-12-01,Garmin Connect calorie adjustment,Cardio,214.0,1,,,,7835,
2023-12-02,Garmin Connect calorie adjustment,Cardio,392.0,1,,,,10075,
2023-12-03,"""Strength training (weight lifting, weight training)""",Cardio,545.0,53,,,,,
2023-12-03,Garmin Connect calorie adjustment,Cardio,187.0,1,,,,9968,
2023-12-04,Garmin Connect calorie adjustment,Cardio,130.0,1,,,,3827,
2023-12-05,Garmin Connect calorie adjustment,Cardio,186.0,1,,,,6233,
2023-12-06,Garmin Connect calorie adjustment,Cardio,459.0,1,,,,11044,
2023-12-07,Garmin Connect calorie adjustment,Cardio,380.0,1,,,,11105,
2023-12-08,Garmin Connect calorie adjustment,Cardio,263.0,1,,,,6641,
2023-12-09,Garmin Connect calorie adjustment,Cardio,656.0,1,,,,12640,
2023-12-10,Garmin Connect calorie adjustment,Cardio,590.0,1,,,,12831,
2023-12-11,"""Strength training (weight lifting, weight training)""",Cardio,303.0,42,,,,,
2023-12-11,Garmin Connect calorie adjustment,Cardio,166.0,1,,,,4852,
2023-12-12,"""Strength training (weight lifting, weight training)""",Cardio,364.0,39,,,,,
2023-12-12,Garmin Connect calorie adjustment,Cardio,270.0,1,,,,6331,
2023-12-13,"""Strength training (weight lifting, weight training)""",Cardio,462.0,66,,,,,
2023-12-13,Garmin Connect calorie adjustment,Cardio,100.0,1,,,,8291,
2023-12-14,"""Stair-treadmill ergometer, general""",Cardio,315.0,25,,,,,
2023-12-14,Garmin Connect calorie adjustment,Cardio,420.0,1,,,,7186,
2023-12-15,"""Strength training (weight lifting, weight training)""",Cardio,310.0,60,,,,,
2023-12-15,"""Walking, 3.5 mph, brisk pace""",Cardio,201.0,27,,,,,
2023-12-15,Garmin Connect calorie adjustment,Cardio,251.0,1,,,,12089,
2023-12-16,Garmin Connect calorie adjustment,Cardio,488.0,1,,,,12747,
2023-12-17,"""Strength training (weight lifting, weight training)""",Cardio,450.0,51,,,,,
2023-12-17,Garmin Connect calorie adjustment,Cardio,416.0,1,,,,10212,
2023-12-18,"""Strength training (weight lifting, weight training)""",Cardio,388.0,47,,,,,
2023-12-18,Garmin Connect calorie adjustment,Cardio,132.0,1,,,,3574,
2023-12-19,"""Running (jogging), 5 mph (12 min mile)""",Cardio,28.0,15,,,,,
2023-12-19,"""Stair-treadmill ergometer, general""",Cardio,185.0,14,,,,,
2023-12-19,Garmin Connect calorie adjustment,Cardio,593.0,1,,,,14076,
2023-12-20,"""Strength training (weight lifting, weight training)""",Cardio,260.0,35,,,,,
2023-12-20,Garmin Connect calorie adjustment,Cardio,261.0,1,,,,10637,
2023-12-21,"""Strength training (weight lifting, weight training)""",Cardio,408.0,37,,,,,
2023-12-21,Garmin Connect calorie adjustment,Cardio,327.0,1,,,,6598,
2023-12-22,"""Strength training (weight lifting, weight training)""",Cardio,268.0,33,,,,,
2023-12-22,Garmin Connect calorie adjustment,Cardio,271.0,1,,,,7287,
2023-12-23,Garmin Connect calorie adjustment,Cardio,537.0,1,,,,12232,
2023-12-24,"""Strength training (weight lifting, weight training)""",Cardio,453.0,42,,,,,
2023-12-24,Garmin Connect calorie adjustment,Cardio,229.0,1,,,,9194,
2023-12-25,Garmin Connect calorie adjustment,Cardio,261.0,1,,,,8595,
2023-12-26,"""Strength training (weight lifting, weight training)""",Cardio,62.0,5,,,,,
2023-12-26,Garmin Connect calorie adjustment,Cardio,763.0,1,,,,14136,
2023-12-27,Garmin Connect calorie adjustment,Cardio,280.0,1,,,,5405,
2023-12-28,"""Strength training (weight lifting, weight training)""",Cardio,710.0,71,,,,,
2023-12-28,Garmin Connect calorie adjustment,Cardio,751.0,1,,,,16511,
2023-12-29,Garmin Connect calorie adjustment,Cardio,680.0,1,,,,15244,
2023-12-30,Garmin Connect calorie adjustment,Cardio,372.0,1,,,,9692,
2023-12-31,Garmin Connect calorie adjustment,Cardio,995.0,1,,,,22217,
2024-01-01,Garmin Connect calorie adjustment,Cardio,296.0,1,,,,10085,
2024-01-02,Garmin Connect calorie adjustment,Cardio,257.0,1,,,,6308,
2024-01-03,"""Strength training (weight lifting, weight training)""",Cardio,506.0,55,,,,,
2024-01-03,Garmin Connect calorie adjustment,Cardio,136.0,1,,,,6522,
2024-01-04,"""Strength training (weight lifting, weight training)""",Cardio,326.0,35,,,,,
2024-01-04,Garmin Connect calorie adjustment,Cardio,332.0,1,,,,11758,
2024-01-05,"""Stair-treadmill ergometer, general""",Cardio,344.0,23,,,,,
2024-01-05,Garmin Connect calorie adjustment,Cardio,399.0,1,,,,8269,
2024-01-06,Garmin Connect calorie adjustment,Cardio,549.0,1,,,,10361,
2024-01-07,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,74,
2024-01-08,Garmin Connect calorie adjustment,Cardio,125.0,1,,,,4514,
2024-01-09,"""Strength training (weight lifting, weight training)""",Cardio,500.0,52,,,,,
2024-01-09,Garmin Connect calorie adjustment,Cardio,314.0,1,,,,8576,
2024-01-10,"""Strength training (weight lifting, weight training)""",Cardio,205.0,24,,,,,
2024-01-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2162,
2024-01-11,Garmin Connect calorie adjustment,Cardio,171.0,1,,,,3968,
2024-01-12,Garmin Connect calorie adjustment,Cardio,351.0,1,,,,5875,
2024-01-13,Garmin Connect calorie adjustment,Cardio,179.0,1,,,,5401,
2024-01-14,Garmin Connect calorie adjustment,Cardio,484.0,1,,,,10302,
2024-01-15,Garmin Connect calorie adjustment,Cardio,229.0,1,,,,6669,
2024-01-16,"""Strength training (weight lifting, weight training)""",Cardio,159.0,21,,,,,
2024-01-16,Garmin Connect calorie adjustment,Cardio,270.0,1,,,,8734,
2024-01-17,"""Strength training (weight lifting, weight training)""",Cardio,285.0,34,,,,,
2024-01-17,Garmin Connect calorie adjustment,Cardio,240.0,1,,,,6252,
2024-01-18,"""Strength training (weight lifting, weight training)""",Cardio,500.0,49,,,,,
2024-01-18,"""Walking, 3.0 mph, mod. pace""",Cardio,179.0,28,,,,,
2024-01-18,Garmin Connect calorie adjustment,Cardio,381.0,1,,,,12077,
2024-01-19,"""Stair-treadmill ergometer, general""",Cardio,364.0,24,,,,,
2024-01-19,Garmin Connect calorie adjustment,Cardio,527.0,1,,,,12135,
2024-01-20,Garmin Connect calorie adjustment,Cardio,303.0,1,,,,7101,
2024-01-21,"""Strength training (weight lifting, weight training)""",Cardio,521.0,57,,,,,
2024-01-21,Garmin Connect calorie adjustment,Cardio,375.0,1,,,,11405,
2024-01-22,Garmin Connect calorie adjustment,Cardio,110.0,1,,,,3549,
2024-01-23,"""Walking, 3.5 mph, brisk pace""",Cardio,168.0,25,,,,,
2024-01-23,Garmin Connect calorie adjustment,Cardio,293.0,1,,,,13086,
2024-01-24,Garmin Connect calorie adjustment,Cardio,30.0,1,,,,2188,
2024-01-25,Garmin Connect calorie adjustment,Cardio,192.0,1,,,,4481,
2024-01-26,"""Strength training (weight lifting, weight training)""",Cardio,417.0,41,,,,,
2024-01-26,Garmin Connect calorie adjustment,Cardio,280.0,1,,,,9097,
2024-01-27,"""Running (jogging), 5 mph (12 min mile)""",Cardio,341.0,34,,,,,
2024-01-27,"""Stair-treadmill ergometer, general""",Cardio,143.0,12,,,,,
2024-01-27,Garmin Connect calorie adjustment,Cardio,878.0,1,,,,22116,
2024-01-28,"""Strength training (weight lifting, weight training)""",Cardio,216.0,38,,,,,
2024-01-28,Garmin Connect calorie adjustment,Cardio,175.0,1,,,,6128,
2024-01-29,Garmin Connect calorie adjustment,Cardio,287.0,1,,,,6313,
2024-01-30,Garmin Connect calorie adjustment,Cardio,335.0,1,,,,7854,
2024-01-31,"""Strength training (weight lifting, weight training)""",Cardio,477.0,48,,,,,
2024-01-31,Garmin Connect calorie adjustment,Cardio,359.0,1,,,,9356,
2024-02-01,"""Strength training (weight lifting, weight training)""",Cardio,448.0,45,,,,,
