CAS Number;Chemical Name;SMILES;Species Scientific Name;Species Common Name;Species Sub Phylum;Effect;Organism Lifestage;Exposure Duration Mean (Days);Conc 1 Mean (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Units (Standardized)
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Osteichthyes;Bony Fishes;Vertebrata;Mortality;Juvenile;NR;0.028;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0008;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0055;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0032;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.00055;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Osteichthyes;Bony Fishes;Vertebrata;Mortality;Juvenile;NR;0.018;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Fundulus majalis;Striped Killifish;Vertebrata;Mortality;Not reported;NR;0.002;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Fundulus majalis;Striped Killifish;Vertebrata;Mortality;Not reported;NR;0.003;;AI mg/L
