CAS Number;Chemical Name;SMILES;Species Scientific Name;Species Common Name;Species Sub Phylum;Effect;Organism Lifestage;Exposure Duration Mean (Days);Conc 1 Mean (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Units (Standardized);log_Conc;Es tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0138;;AI mg/L;-1.8601209135987635;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.02;>;AI mg/L;-1.6989700043360187;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0142;;AI mg/L;-1.8477116556169435;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0099;;AI mg/L;-2.00436480540245;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0124;;AI mg/L;-1.9065783148377649;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0132;;AI mg/L;-1.8794260687941502;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0199;;AI mg/L;-1.7011469235902934;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.0074;;AI mg/L;-2.1307682802690238;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.04;>;AI mg/L;-1.3979400086720375;Tóxico
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Pimephales promelas;Fathead Minnow;Vertebrata;Mortality;Not reported;NR;0.056;;AI mg/L;-1.2518119729937995;Tóxico
