CAS Number,Chemical Name,SMILES,Species Scientific Name,Species Common Name,Species Sub Phylum,Effect,Organism Lifestage,Exposure Duration Mean (Days),Conc 1 Mean (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Units (Standardized)
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gambusia affinis,Western Mosquitofish,Vertebrata,Mortality,Not reported,NR,1.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gambusia affinis,Western Mosquitofish,Vertebrata,Mortality,Not reported,NR,8.51,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora heteromorpha,"Harlequinfish, Red Rasbora",Vertebrata,Mortality,Not reported,NR,14.2,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora heteromorpha,"Harlequinfish, Red Rasbora",Vertebrata,Mortality,Not reported,NR,8.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora heteromorpha,"Harlequinfish, Red Rasbora",Vertebrata,Mortality,Not reported,NR,10.7,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,3.02,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,25.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Oreochromis mossambicus,Mozambique Tilapia,Vertebrata,Mortality,Not reported,NR,3.54,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,10.47,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,2.95,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Heteropneustes fossilis,Indian Catfish,Vertebrata,Mortality,Not reported,NR,3.55,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,218.5,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,6300.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Leucaspius delineatus,Sunbleak,Vertebrata,Mortality,Not reported,NR,20.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Oreochromis mossambicus,Mozambique Tilapia,Vertebrata,Mortality,Immature,NR,2.8,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Channa punctata,Snake-Head Catfish,Vertebrata,Mortality,Not reported,NR,1.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Rasbora daniconius,Slender Rasbora,Vertebrata,Mortality,Adult,NR,6.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Pseudosphromenus cupanus,Spike-tailed Paradise Fish ,Vertebrata,Mortality,Not reported,NR,2.813,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Pseudosphromenus cupanus,Spike-tailed Paradise Fish ,Vertebrata,Mortality,Not reported,NR,2.277,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Channa striata,Snake-Head Catfish,Vertebrata,Mortality,Not reported,NR,1.346,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cirrhinus mrigala,"Carp, Hawk Fish",Vertebrata,Mortality,Fingerling,NR,6.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Gibelion catla,Catla,Vertebrata,Mortality,Fingerling,NR,6.8,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Labeo rohita,Rohu,Vertebrata,Mortality,Fingerling,NR,6.4,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Oryzias latipes,Japanese Medaka,Vertebrata,Mortality,Not reported,NR,10.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,2.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,4.2,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,3.5,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,100.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Cyprinus carpio,Common Carp,Vertebrata,Mortality,Not reported,NR,5.0,,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
50-29-3,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,Ictalurus punctatus,Channel Catfish,Vertebrata,Mortality,Fingerling,NR,2.0,>,AI mg/L
