SMILES;y
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2OCCCl)n1;0
CCO/N=C(\CC)C1=C(O)CC(c2c(C)cc(C)cc2C)CC1=O;1
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1;0
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl;0
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl;0
Oc1ccccc1-c1ccccc1;1
CC1(C)CC/C(=C/c2ccc(Cl)cc2)C1(O)Cn1cncn1;0
CCS(=O)CCSP(=O)(OC)OC;1
CCC(=O)Nc1ccc(Cl)c(Cl)c1;1
O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1;0
Cc1nn(C)c(F)c1C(=O)Nc1ccccc1C(C)CC(C)C;0
Oc1nc2ccc(Cl)cc2nc1O;0
CCCSP(=O)(OCC)SCCC;1
CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1;1
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1;0
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl;1
O=C(O)CNCP(=O)(O)O;0
Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC2COC2)n1;0
O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl;0
CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl;0
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1;0
Cc1nnc(-c2ccccc2)c(=O)n1N;1
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1;0
COP(=O)(OC)C(O)C(Cl)(Cl)Cl;1
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1;0
CCNC(=O)NC(=O)/C(C#N)=N/OC;0
CNC(=O)ON=C(C)SC;1
N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N;1
c1ccc(CNc2ncnc3[nH]cnc23)cc1;0
CCC/C(=N\OCC)C1=C(O)CC(C2CCCSC2)CC1=O;0
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12;1
COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12;0
CCCOc1nc2ccc(I)cc2c(=O)n1CCC;0
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1;0
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl;1
Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl;1
O=C(NCCc1ncc(C(F)(F)F)cc1Cl)c1ccccc1C(F)(F)F;0
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-];0
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1;1
CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1;0
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1;1
Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl;0
CCOc1nc(NC)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)n1;1
COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-];0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-];0
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F;0
[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21;0
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1;1
Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1;0
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1;0
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C;1
CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C(\Cl)C(F)(F)F;1
CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1;0
CC(c1ccc(C(F)(F)F)nc1)S(C)(=O)=NC#N;1
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1;0
CC1=NNC(=O)N(/N=C/c2cccnc2)C1;0
COC(=O)Nc1nc2ccccc2[nH]1;1
COc1cc(OC)nc(NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1;0
COC(=O)CC(NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)c1ccc(Cl)cc1;0
CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F;0
Nc1nc(N)nc(NC2CC2)n1;0
CCOc1ccc(NC(=O)OC(C)C)cc1OCC;0
CNC(=O)/C(=N/OC)c1ccccc1COc1cc(C)ccc1C;1
CCOC(=O)[C@@H](C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1;0
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1;1
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F;0
CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1;0
COC(=O)[C@@H](C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C;1
CNC(=O)ON=C(SC)C(=O)N(C)C;1
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1;0
CCCCCCCCc1c(CC)nc2ncnn2c1N;0
CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCC1CCCO1;1
Nc1cc(Cl)nc(C(=O)O)c1Cl;0
CSc1nnc(C(C)(C)C)c(=O)n1N;1
COc1cc(OC)n2nc(NS(=O)(=O)c3c(C(F)(F)F)ccnc3OC)nc2n1;0
