[+] Searching templates for CCND2
	[++] the following templates have been found CCND2
2	7kjoA	X	1	101	27	127	2	97	96	28.	0.23E-06
3	1u29A	X	1	119	29	129	3	116	97	24.	0.53E-03
4	2yryA	X	1	122	27	122	22	112	88	35.	0.64E-06
5	1u5dA	X	1	108	25	122	1	97	96	30.	0.28E-05
6	1u5eA	X	1	170	27	126	65	163	98	28.	0.80E-03
7	1u5fA	X	1	119	27	126	17	115	98	28.	0.53E-03
8	1u5gA	X	1	115	27	126	13	111	98	28.	0.51E-03
9	3us4A	X	1	97	480	538	23	80	58	33.	0.81E-02
10	4kaxB	X	1	143	29	129	13	125	96	28.	0.99E-04
11	1fgyA	X	1	127	29	129	7	119	96	27.	0.75E-03
12	1plsA	X	1	113	29	129	7	100	94	29.	0.15E-02
13	1v89A	X	1	118	26	130	7	112	100	31.	0.61E-04
14	2dkpA	X	1	128	27	122	21	111	91	25.	0.15E-03
15	2d9yA	X	1	117	27	122	11	101	88	35.	0.61E-06
16	2r09A	X	1	343	29	129	214	326	96	28.	0.27E-03
17	1x1gA	X	1	129	16	127	7	121	105	30.	0.26E-03
18	2cr4A	X	1	126	444	560	6	123	117	98.	0.0
19	1upqA	X	1	107	31	127	13	104	92	29.	0.16E-03
20	1faoA	X	1	100	29	126	6	94	85	35.	0.22E-02
21	1eazA	X	1	104	27	122	3	92	90	30.	0.78E-03
22	3eazA	X	1	102	480	538	27	84	58	34.	0.86E-02
23	2rsyA	X	1	99	480	540	25	84	60	35.	0.63E-02
24	2eo3A	X	2	111	483	543	41	100	60	27.	0.88E-02
25	2eobA	X	2	124	444	560	3	121	105	28.	0.26E-04
26	5gjiA	X	2	107	482	550	29	97	69	25.	0.22E-03
27	6amvA	X	2	255	482	540	165	223	58	27.	0.98E-02
28	2b3oA	X	2	504	466	555	118	208	84	24.	0.74E-02
29	1btnA	X	2	106	35	128	16	106	87	19.	0.27E-02
30	7nh5A	X	2	383	27	129	4	101	95	20.	0.29E-06
31	4jegA	X	2	114	483	538	32	92	55	28.	0.62E-02
32	4gzuA	X	2	436	31	128	355	435	81	30.	0.11E-06
33	4gzuB	X	2	418	31	128	334	418	85	27.	0.12E-06
34	1rjaA	X	2	100	482	546	25	88	63	28.	0.81E-02
35	1rpyA	X	2	82	458	540	8	82	75	31.	0.18E-02
36	3tfmA	X	2	208	28	157	39	159	118	21.	0.40E-09
37	5u78A	X	2	120	24	101	1	68	68	21.	0.15E-03
38	5u78C	X	2	116	26	101	2	65	64	22.	0.94E-03
39	1kc2A	X	2	96	466	541	13	82	68	34.	0.53E-02
40	5kcvA	X	2	353	27	128	1	93	92	22.	0.85E-06
41	6kc4A	X	2	101	476	554	15	98	77	25.	0.30E-03
42	8dgoA	X	2	219	482	552	82	151	70	23.	0.37E-03
43	3snhA	X	2	652	27	160	462	590	122	16.	0.25E-02
44	3pqzC	X	2	97	482	553	23	95	66	32.	0.46E-02
45	7vs3A	X	2	235	44	134	140	231	88	22.	0.64E-03
46	3zvrA	X	2	669	27	160	480	603	119	19.	0.34E-02
47	2dlzA	X	2	118	439	560	3	115	111	27.	0.11E-03
48	2dlyA	X	2	121	479	540	36	97	61	29.	0.75E-02
49	6icgA	X	2	95	482	552	23	92	70	23.	0.15E-03
50	2kk6A	X	2	116	476	554	25	108	77	25.	0.35E-03
51	2yu7A	X	2	118	466	560	17	115	88	25.	0.30E-03
52	6cmqA	X	2	400	483	538	28	82	55	31.	0.11E-02
53	1wjmA	X	2	123	46	129	32	116	81	18.	0.13E-03
54	4a6hA	X	2	108	24	126	2	104	98	20.	0.19E-03
55	4a6fA	X	2	105	24	126	1	100	97	21.	0.66E-04
56	3hizB	X	2	234	482	551	26	95	70	26.	0.79E-03
57	2dn6A	X	2	115	24	129	5	102	97	23.	0.21E-09
58	1p6sA	X	2	111	26	129	5	107	99	20.	0.72E-08
59	6hhjA	X	2	410	27	129	4	103	97	19.	0.28E-06
60	4hhvA	X	2	103	46	127	22	96	73	21.	0.36E-03
61	8tgdB	X	2	245	482	551	26	89	64	30.	0.72E-03
62	2cofA	X	2	107	44	130	20	101	81	26.	0.12E-02
